Product Name,Parents Release_Final,Design Element_Rel Num,Release Type,Milestone,Roadmap_MonthYear,YearMonth_number,Date_Roadmap,Roadmap_Year,ReleaseType_Milestone,Release Type_Short,Status
Product G,Product G 22,22.8,Feature Package,C3,Jul-2022,72022,22-07-2022 00:00,2022,FP C3,FP,Forecast
Product G,Product G 22,22.8 FP4,Feature Package,C5,Sep-2022,92022,01-09-2022 00:00,2022,FP C5,FP,Forecast
Product G,Product G 22,22.8 FP5,Feature Package,C5,Sep-2022,92022,01-09-2022 00:00,2022,FP C5,FP,Approved
Product G,Product G 22,22.8,Feature Package,C5,Sep-2022,92022,30-09-2022 00:00,2022,FP C5,FP,Forecast
Product G,Product G 23,23.2,Feature Package,C3,Jan-2023,12023,13-01-2023 00:00,2023,FP C3,FP,Forecast
Product G,Product G 23,23.2,Feature Package,C3,Jan-2023,12023,15-01-2023 00:00,2023,FP C3,FP,Forecast
Product G,Product G 23,23,Main Release,C1,Oct-2022,102022,03-10-2022 00:00,2022,MR C1,MR,Approved
Product G,Product G 23,23,Main Release,C3,Oct-2022,102022,31-10-2022 00:00,2022,MR C3,MR,Approved
Product G,Product G 23 [CNF],23.2,Feature Package,C5,Feb-2023,22023,28-02-2023 00:00,2023,FP C5,FP,Approved
Product G,Product G 23 [CNF],23.2,Feature Package,C5,Feb-2023,22023,28-02-2023 00:00,2023,FP C5,FP,Forecast
Product G,Product G 23 [CNF],23,Main Release,C5,Dec-2022,122022,02-12-2022 00:00,2022,MR C5,MR,Forecast
Product G,Product G 23 [CNF],23,Main Release,C5,Dec-2022,122022,02-12-2022 00:00,2022,MR C5,MR,Approved
